prompt,category,normal_clusters,normal_entropy,misrouted_clusters,misrouted_entropy,top1_clusters,top1_entropy,diff_normal_misrouted,diff_normal_top1,diff_misrouted_top1
Who was the first person to walk on the moon in 1700?,unanswerable,1,0.0,8,1.973,1,0.0,1.973,0.0,-1.973
What programming language was most popular in 1820?,unanswerable,1,0.0,7,1.7481,1,0.0,1.7481,0.0,-1.7481
Who was the richest person in the world in 900 AD?,unanswerable,1,0.0,3,0.8979,1,0.0,0.8979,0.0,-0.8979
What was the top-grossing film in 1600?,unanswerable,1,0.0,7,1.7481,1,0.0,1.7481,0.0,-1.7481
What was the most popular social media platform in 1750?,unanswerable,1,0.0,6,1.6094,1,0.0,1.6094,0.0,-1.6094
Who was the first person to land on Mars in 1899?,unanswerable,2,0.3251,6,1.6094,2,0.673,1.2844,0.3479,-0.9364
What was the best-selling iPhone model in 1400?,unanswerable,3,0.8018,7,1.8344,5,1.4185,1.0326,0.6167,-0.4159
Who won the Super Bowl in 1650?,unanswerable,1,0.0,6,1.6957,1,0.0,1.6957,0.0,-1.6957
What was the most streamed song on Spotify in 1820?,unanswerable,1,0.0,4,1.0889,2,0.3251,1.0889,0.3251,-0.7638
Who was the first person to use Wi-Fi in 1300?,unanswerable,1,0.0,4,1.1683,1,0.0,1.1683,0.0,-1.1683
What was the unemployment rate in the European Union in 1066?,unanswerable,1,0.0,4,1.0889,1,0.0,1.0889,0.0,-1.0889
What is the capital of France?,factual,1,0.0,3,0.639,1,0.0,0.639,0.0,-0.639
What is the chemical symbol for gold?,factual,1,0.0,7,1.7481,1,0.0,1.7481,0.0,-1.7481
How many sides does a hexagon have?,factual,1,0.0,7,1.7481,1,0.0,1.7481,0.0,-1.7481
What is the largest planet in the solar system?,factual,1,0.0,8,1.973,1,0.0,1.973,0.0,-1.973
Who wrote Romeo and Juliet?,factual,1,0.0,3,0.639,1,0.0,0.639,0.0,-0.639
What is the atomic number of carbon?,factual,1,0.0,3,0.639,1,0.0,0.639,0.0,-0.639
What is the capital of Japan?,factual,1,0.0,3,0.8018,1,0.0,0.8018,0.0,-0.8018
What is the square root of 144?,factual,1,0.0,6,1.6434,1,0.0,1.6434,0.0,-1.6434
What is the tallest mountain in the world?,factual,1,0.0,4,1.1683,1,0.0,1.1683,0.0,-1.1683
What is the chemical formula for water?,factual,1,0.0,4,0.9404,1,0.0,0.9404,0.0,-0.9404
Who painted the Mona Lisa?,factual,1,0.0,3,0.8979,1,0.0,0.8979,0.0,-0.8979
What is the largest ocean on Earth?,factual,1,0.0,6,1.6957,1,0.0,1.6957,0.0,-1.6957
What planet is closest to the Sun?,factual,1,0.0,5,1.4185,1,0.0,1.4185,0.0,-1.4185
In what year did World War II end?,factual,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0
Who was the first President of the United States?,factual,1,0.0,4,1.0889,1,0.0,1.0889,0.0,-1.0889
How many planets are in the solar system?,factual,1,0.0,6,1.6957,1,0.0,1.6957,0.0,-1.6957
Who invented the telephone?,factual,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0
What year did the Berlin Wall fall?,factual,1,0.0,6,1.6434,1,0.0,1.6434,0.0,-1.6434
Who was the first woman to win a Nobel Prize?,factual,1,0.0,6,1.6094,1,0.0,1.6094,0.0,-1.6094
In what year did the Titanic sink?,factual,1,0.0,5,1.2275,1,0.0,1.2275,0.0,-1.2275
Who wrote the theory of general relativity?,factual,1,0.0,1,0.0,1,0.0,0.0,0.0,0.0
What is the currency of Japan?,factual,1,0.0,4,1.1683,1,0.0,1.1683,0.0,-1.1683
Who was the first human to travel to space?,factual,1,0.0,5,1.4185,1,0.0,1.4185,0.0,-1.4185
What is the largest country in the world by land area?,factual,1,0.0,7,1.7481,1,0.0,1.7481,0.0,-1.7481
Who invented the World Wide Web?,factual,1,0.0,6,1.6094,1,0.0,1.6094,0.0,-1.6094
Which planet is known as the Red Planet?,factual,1,0.0,6,1.6094,1,0.0,1.6094,0.0,-1.6094
What is the longest bone in the human body?,factual,1,0.0,6,1.6094,1,0.0,1.6094,0.0,-1.6094
What are the main causes of climate change?,open_ended,1,0.0,2,0.6109,1,0.0,0.6109,0.0,-0.6109
How does the human immune system work?,open_ended,1,0.0,2,0.3251,1,0.0,0.3251,0.0,-0.3251
What are the ethical implications of artificial intelligence?,open_ended,1,0.0,8,1.973,1,0.0,1.973,0.0,-1.973
Why did the Roman Empire fall?,open_ended,1,0.0,4,0.9404,1,0.0,0.9404,0.0,-0.9404
What are the effects of social media on mental health?,open_ended,1,0.0,8,1.973,1,0.0,1.973,0.0,-1.973
How does evolution work?,open_ended,1,0.0,3,0.639,1,0.0,0.639,0.0,-0.639
What caused the 2008 financial crisis?,open_ended,1,0.0,4,1.1683,1,0.0,1.1683,0.0,-1.1683
What are the arguments for and against capital punishment?,open_ended,1,0.0,4,1.0889,1,0.0,1.0889,0.0,-1.0889
How does the brain form memories?,open_ended,1,0.0,5,1.3592,1,0.0,1.3592,0.0,-1.3592
What are the main theories of consciousness?,open_ended,3,0.639,6,1.6094,1,0.0,0.9704,-0.639,-1.6094
What are the causes and consequences of income inequality?,open_ended,1,0.0,3,1.0297,1,0.0,1.0297,0.0,-1.0297
How does democracy differ from authoritarianism?,open_ended,1,0.0,7,1.8344,1,0.0,1.8344,0.0,-1.8344
What is the significance of the Industrial Revolution?,open_ended,1,0.0,4,0.9404,1,0.0,0.9404,0.0,-0.9404
How does language shape our perception of the world?,open_ended,1,0.0,5,1.3592,1,0.0,1.3592,0.0,-1.3592
What are the potential benefits and risks of gene editing?,open_ended,1,0.0,5,1.3592,1,0.0,1.3592,0.0,-1.3592
Why is biodiversity important?,open_ended,1,0.0,4,0.9404,2,0.5004,0.9404,0.5004,-0.44
How does globalisation affect developing countries?,open_ended,1,0.0,5,1.4708,1,0.0,1.4708,0.0,-1.4708
What are the philosophical arguments for the existence of free will?,open_ended,3,0.639,5,1.2275,3,1.0549,0.5885,0.4159,-0.1726
How has the internet changed society?,open_ended,1,0.0,3,0.639,1,0.0,0.639,0.0,-0.639
What are the main causes of the First World War?,open_ended,1,0.0,7,1.7481,1,0.0,1.7481,0.0,-1.7481
What are the long-term consequences of colonialism?,open_ended,1,0.0,4,1.0889,1,0.0,1.0889,0.0,-1.0889
How does poverty affect childhood development?,open_ended,1,0.0,5,1.3592,1,0.0,1.3592,0.0,-1.3592
What are the arguments for and against universal basic income?,open_ended,1,0.0,5,1.2275,1,0.0,1.2275,0.0,-1.2275
How does misinformation spread in the digital age?,open_ended,1,0.0,5,1.5048,1,0.0,1.5048,0.0,-1.5048
What are the psychological effects of prolonged isolation?,open_ended,1,0.0,3,0.639,1,0.0,0.639,0.0,-0.639
How do cultural differences influence conflict resolution?,open_ended,1,0.0,3,0.8979,1,0.0,0.8979,0.0,-0.8979
What are the ethical responsibilities of large corporations?,open_ended,1,0.0,6,1.6094,1,0.0,1.6094,0.0,-1.6094
